"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 20 13:47:55 MSK 2021","Sat Mar 20 13:47:58 MSK 2021","2167","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sat Mar 20 13:47:29 MSK 2021","Sat Mar 20 13:47:31 MSK 2021","2305","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Mar 20 13:47:03 MSK 2021","Sat Mar 20 13:47:04 MSK 2021","1157","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_check_login_link",""
"passed","Sat Mar 20 13:48:18 MSK 2021","Sat Mar 20 13:48:20 MSK 2021","1212","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"skipped","Sat Mar 20 13:48:42 MSK 2021","Sat Mar 20 13:48:47 MSK 2021","4276","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 20 13:48:06 MSK 2021","Sat Mar 20 13:48:08 MSK 2021","2211","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sat Mar 20 13:47:45 MSK 2021","Sat Mar 20 13:47:47 MSK 2021","2301","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 20 13:46:58 MSK 2021","Sat Mar 20 13:47:00 MSK 2021","1425","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 20 13:47:07 MSK 2021","Sat Mar 20 13:47:19 MSK 2021","11768","module_5","test_main_page","TestBasketFromMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 20 13:48:23 MSK 2021","Sat Mar 20 13:48:24 MSK 2021","1569","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Sat Mar 20 13:49:05 MSK 2021","Sat Mar 20 13:49:11 MSK 2021","6319","module_5","test_product_page","TestProductPage","","","test_message_dissapeared_after_adding_product_to_basket",""
"passed","Sat Mar 20 13:48:27 MSK 2021","Sat Mar 20 13:48:39 MSK 2021","12103","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 20 13:47:50 MSK 2021","Sat Mar 20 13:47:52 MSK 2021","2110","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"skipped","Sat Mar 20 13:48:01 MSK 2021","Sat Mar 20 13:48:03 MSK 2021","2381","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Mar 20 13:48:50 MSK 2021","Sat Mar 20 13:49:02 MSK 2021","11831","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 20 13:48:11 MSK 2021","Sat Mar 20 13:48:15 MSK 2021","3934","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 20 13:47:34 MSK 2021","Sat Mar 20 13:47:37 MSK 2021","2360","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Mar 20 13:47:22 MSK 2021","Sat Mar 20 13:47:26 MSK 2021","3843","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 20 13:47:40 MSK 2021","Sat Mar 20 13:47:42 MSK 2021","2163","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
